session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Industry,Nationality,Sex,Student Status
61261c3ad3529996dce6372c,6111319162cb339cc4728f8a,APPROVED,2021-08-25 10:32:37.890000,2021-08-25 10:36:41.083000,243.193,30,86,3,96,2021-08-25 15:59:44.159000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612625e7827f1f29a21c13c5,5b4370f330bbfd000105f991,APPROVED,2021-08-25 11:13:46.025000,2021-08-25 11:20:14.724000,388.699,55,346,0,100,2021-08-25 15:59:44.234000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,DATA EXPIRED
6126265ead786ebd65aa8207,611115a766df68e739b3ac70,APPROVED,2021-08-25 11:15:45.143000,2021-08-25 11:24:46.236000,541.093,44,57,1,100,2021-08-25 15:59:44.315000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612627877354a0b8fc18be28,60ff6a8f44df7674b32cc799,TIMED-OUT,2021-08-25 11:20:39.767000,,1065253.835799,26,14,0,100,,,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126334e6b953caf257902a4,5f74fd83ed11b81620baf105,APPROVED,2021-08-25 12:15:38.500000,2021-08-25 12:30:39.233000,900.733,33,803,1,100,2021-08-25 15:59:44.384000,9EC36FE2,Hong Kong,United States,Full-Time,Chinese,"Chinese, English",Real Estate Rental and Leasing,United States,Female,Yes
612638e48043fbb6d4f555df,5f95d87f5016160f47995dae,APPROVED,2021-08-25 12:34:44.559000,2021-08-25 12:39:45.608000,301.049,43,596,10,96,2021-08-25 15:59:44.450000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
61263e04502d74c30dbe7011,603407c4dd800c16d182bb1e,REJECTED,2021-08-25 12:56:45.602000,2021-08-25 13:00:11.793000,206.191,32,253,6,97,2021-08-25 15:57:23.066000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
61263f3eced000c9df24ee16,6111646d1922d97d81f4f9c1,APPROVED,2021-08-25 13:07:13.229000,2021-08-25 13:24:16.977000,1023.748,27,85,0,100,2021-08-25 15:59:44.527000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61263f883ac284ee2fb8fda5,6108334484fa53f00832f23c,APPROVED,2021-08-25 13:03:25.062000,2021-08-25 13:14:23.835000,658.773,28,50,1,100,2021-08-25 15:59:44.615000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612643d742d043e141cc25f4,5c57022635a46a0001682961,APPROVED,2021-08-25 13:21:37.595000,2021-08-25 13:32:50.036000,672.441,50,1537,4,100,2021-08-25 15:59:44.686000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
